Transcript PK, Syllable PK, Sequence PK
laɪflaɪk, laɪ, 1
laɪflaɪk, aɪf, 2
laɪflaɪk, laɪ, 3
laɪflaɪk, aɪk, 4
laɪkənz, laɪ, 1
laɪkənz, aɪk, 2
laɪkənz, kə, 3
laɪkənz, ən, 4
laɪm, laɪ, 1
laɪm, aɪm, 2
laɪmstəʊn, laɪ, 1
laɪmstəʊn, aɪm, 2
laɪmstəʊn, təʊ, 3
laɪmstəʊn, əʊn, 4
laɪvstɒk, laɪ, 1
laɪvstɒk, aɪv, 2
laɪvstɒk, tɒ, 3
laɪvstɒk, ɒk, 4
laɪənes, laɪ, 1
laɪənes, ɪən, 2
laɪənes, ne, 3
laɪənes, es, 4
leɪ_ɒf, leɪ, 1
leɪ_ɒf, ɒf, 2
leɪaʊt, leɪ, 1
leɪaʊt, aʊt, 2
leɪklənd_teriərz, leɪ, 1
leɪklənd_teriərz, eɪk, 2
leɪklənd_teriərz, lə, 3
leɪklənd_teriərz, ən, 4
leɪklənd_teriərz, te, 5
leɪklənd_teriərz, er, 6
leɪklənd_teriərz, ri, 7
leɪklənd_teriərz, ər, 8
leɪt_naɪt, leɪ, 1
leɪt_naɪt, eɪt, 2
leɪt_naɪt, naɪ, 3
leɪt_naɪt, aɪt, 4
liːfi, liː, 1
liːfi, iːf, 2
liːfi, fi, 3
liːgəlaɪzd, liː, 1
liːgəlaɪzd, iːg, 2
liːgəlaɪzd, gə, 3
liːgəlaɪzd, əl, 4
liːgəlaɪzd, laɪ, 5
liːgəlaɪzd, aɪz, 6
luːkiːmiə, luː, 1
luːkiːmiə, uːk, 2
luːkiːmiə, kiː, 3
luːkiːmiə, iːm, 4
luːkiːmiə, mi, 5
læbərɪnθ, læ, 1
læbərɪnθ, æb, 2
læbərɪnθ, bə, 3
læbərɪnθ, ər, 4
læbərɪnθ, rɪ, 5
læbərɪnθ, ɪn, 6
læmps, læ, 1
læmps, æm, 2
læptɒps, læ, 1
læptɒps, æp, 2
læptɒps, tɒ, 3
læptɒps, ɒp, 4
lævɪʃ, læ, 1
lævɪʃ, æv, 2
lævɪʃ, vɪ, 3
lævɪʃ, ɪʃ, 4
lɑːns, lɑː, 1
lɑːns, ɑːn, 2
lɒkdaʊn, lɒ, 1
lɒkdaʊn, ɒk, 2
lɒkdaʊn, daʊ, 3
lɒkdaʊn, aʊn, 4
lɒpsaɪdɪd, lɒ, 1
lɒpsaɪdɪd, ɒp, 2
lɒpsaɪdɪd, saɪ, 3
lɒpsaɪdɪd, aɪd, 4
lɒpsaɪdɪd, dɪ, 5
lɒtə, lɒ, 1
lɒtə, ɒt, 2
lɒtə, tə, 3
lɒŋhaʊs, lɒ, 1
lɒŋhaʊs, ɒŋ, 2
lɒŋhaʊs, haʊ, 3
lɒŋhaʊs, aʊs, 4
lɔɪərz, lɔɪ, 1
lɔɪərz, ɪər, 2
lɔː_əbaɪdɪŋ, lɔː, 1
lɔː_əbaɪdɪŋ, əb, 2
lɔː_əbaɪdɪŋ, baɪ, 3
lɔː_əbaɪdɪŋ, aɪd, 4
lɔː_əbaɪdɪŋ, dɪ, 5
lɔː_əbaɪdɪŋ, ɪŋ, 6
lɔːndərɪŋ, lɔː, 1
lɔːndərɪŋ, ɔːn, 2
lɔːndərɪŋ, də, 3
lɔːndərɪŋ, ər, 4
lɔːndərɪŋ, rɪ, 5
lɔːndərɪŋ, ɪŋ, 6
ləʊ_kiː, ləʊ, 1
ləʊ_kiː, kiː, 2
ləʊdstəʊn, ləʊ, 1
ləʊdstəʊn, əʊd, 2
ləʊdstəʊn, təʊ, 3
ləʊdstəʊn, əʊn, 4
lɜːnz, lɜː, 1
lɜːnz, ɜːn, 2
lɜːnɪŋz, lɜː, 1
lɜːnɪŋz, ɜːn, 2
lɜːnɪŋz, nɪ, 3
lɜːnɪŋz, ɪŋ, 4
lɪbərəli, lɪ, 1
lɪbərəli, ɪb, 2
lɪbərəli, bə, 3
lɪbərəli, ər, 4
lɪbərəli, rə, 5
lɪbərəli, əl, 6
lɪbərəli, li, 7
lɪkjʊər, lɪ, 1
lɪkjʊər, ɪk, 2
lɪkjʊər, jʊə, 3
lɪkjʊər, ʊər, 4
lɪkt, lɪ, 1
lɪkt, ɪk, 2
lɪm, lɪ, 1
lɪm, ɪm, 2
lɪpstɪk, lɪ, 1
lɪpstɪk, ɪp, 2
lɪpstɪk, tɪ, 3
lɪpstɪk, ɪk, 4
lɪsənərz, lɪ, 1
lɪsənərz, ɪs, 2
lɪsənərz, sə, 3
lɪsənərz, ən, 4
lɪsənərz, nə, 5
lɪsənərz, ər, 6
lɪtərəl, lɪ, 1
lɪtərəl, ɪt, 2
lɪtərəl, tə, 3
lɪtərəl, ər, 4
lɪtərəl, rə, 5
lɪtərəl, əl, 6
lɪvər, lɪ, 1
lɪvər, ɪv, 2
lɪvər, və, 3
lɪvər, ər, 4
lɪŋgəd, lɪ, 1
lɪŋgəd, ɪŋ, 2
lɪŋgəd, gə, 3
lɪŋgəd, əd, 4
lʌgʒʊərieɪt, lʌ, 1
lʌgʒʊərieɪt, ʌg, 2
lʌgʒʊərieɪt, ʒʊə, 3
lʌgʒʊərieɪt, ʊər, 4
lʌgʒʊərieɪt, ri, 5
lʌgʒʊərieɪt, eɪt, 6
maɪkrəfəʊn, maɪ, 1
maɪkrəfəʊn, aɪk, 2
maɪkrəfəʊn, rə, 3
maɪkrəfəʊn, əf, 4
maɪkrəfəʊn, fəʊ, 5
maɪkrəfəʊn, əʊn, 6
maɪkrəfəʊnz, maɪ, 1
maɪkrəfəʊnz, aɪk, 2
maɪkrəfəʊnz, rə, 3
maɪkrəfəʊnz, əf, 4
maɪkrəfəʊnz, fəʊ, 5
maɪkrəfəʊnz, əʊn, 6
maɪkrəʊ, maɪ, 1
maɪkrəʊ, aɪk, 2
maɪkrəʊ, rəʊ, 3
maɪlstəʊn, maɪ, 1
maɪlstəʊn, aɪl, 2
maɪlstəʊn, təʊ, 3
maɪlstəʊn, əʊn, 4
mediiːvl, me, 1
mediiːvl, ed, 2
mediiːvl, di, 3
mediiːvl, iːv, 4
medəlɪsts, me, 1
medəlɪsts, ed, 2
medəlɪsts, də, 3
medəlɪsts, əl, 4
medəlɪsts, lɪ, 5
medəlɪsts, ɪs, 6
medɪkeɪʃn, me, 1
medɪkeɪʃn, ed, 2
medɪkeɪʃn, dɪ, 3
medɪkeɪʃn, ɪk, 4
medɪkeɪʃn, keɪ, 5
medɪkeɪʃn, eɪʃ, 6
memərændəm, me, 1
memərændəm, em, 2
memərændəm, mə, 3
memərændəm, ər, 4
memərændəm, ræ, 5
memərændəm, æn, 6
memərændəm, də, 7
memərændəm, əm, 8
mentæləti, me, 1
mentæləti, en, 2
mentæləti, tæ, 3
mentæləti, æl, 4
mentæləti, lə, 5
mentæləti, ət, 6
mentæləti, ti, 7
mest, me, 1
mest, es, 2
mesɪdʒɪŋ, me, 1
mesɪdʒɪŋ, es, 2
mesɪdʒɪŋ, sɪ, 3
mesɪdʒɪŋ, ɪdʒ, 4
mesɪdʒɪŋ, dʒɪ, 5
mesɪdʒɪŋ, ɪŋ, 6
mesɪŋ, me, 1
mesɪŋ, es, 2
mesɪŋ, sɪ, 3
mesɪŋ, ɪŋ, 4
meɪz, meɪ, 1
meɪz, eɪz, 2
meθæmfetəmiːn, me, 1
meθæmfetəmiːn, eθ, 2
meθæmfetəmiːn, θæ, 3
meθæmfetəmiːn, æm, 4
meθæmfetəmiːn, fe, 5
meθæmfetəmiːn, et, 6
meθæmfetəmiːn, tə, 7
meθæmfetəmiːn, əm, 8
meθæmfetəmiːn, miː, 9
meθæmfetəmiːn, iːn, 10
miːm, miː, 1
miːm, iːm, 2
miːnɪŋz, miː, 1
miːnɪŋz, iːn, 2
miːnɪŋz, nɪ, 3
miːnɪŋz, ɪŋ, 4
mjuzɪʃn, ju, 1
mjuzɪʃn, uz, 2
mjuzɪʃn, zɪ, 3
mjuzɪʃn, ɪʃ, 4
mjuːtʃuəl, juː, 1
mjuːtʃuəl, uːtʃ, 2
mjuːtʃuəl, tʃu, 3
mjuːtʃuəl, əl, 4
mjʊərəl, jʊə, 1
mjʊərəl, ʊər, 2
mjʊərəl, rə, 3
mjʊərəl, əl, 4
mægneɪt, mæ, 1
mægneɪt, æg, 2
mægneɪt, neɪ, 3
mægneɪt, eɪt, 4
mægnəts, mæ, 1
mægnəts, æg, 2
mægnəts, nə, 3
mægnəts, ət, 4
mæləkaɪt, mæ, 1
mæləkaɪt, æl, 2
mæləkaɪt, lə, 3
mæləkaɪt, ək, 4
mæləkaɪt, kaɪ, 5
mæləkaɪt, aɪt, 6
mæmbə, mæ, 1
mæmbə, æm, 2
mæmbə, bə, 3
mænslɔːtər, mæ, 1
mænslɔːtər, æn, 2
mænslɔːtər, lɔː, 3
mænslɔːtər, ɔːt, 4
mænslɔːtər, tə, 5
mænslɔːtər, ər, 6
mærɪdʒiz, mæ, 1
mærɪdʒiz, ær, 2
mærɪdʒiz, rɪ, 3
mærɪdʒiz, ɪdʒ, 4
mærɪdʒiz, dʒi, 5
mærɪdʒiz, iz, 6
mæsəkəd, mæ, 1
mæsəkəd, æs, 2
mæsəkəd, sə, 3
mæsəkəd, ək, 4
mæsəkəd, kə, 5
mæsəkəd, əd, 6
mætɒkeɪ, mæ, 1
mætɒkeɪ, æt, 2
mætɒkeɪ, tɒ, 3
mætɒkeɪ, ɒk, 4
mætɒkeɪ, keɪ, 5
mætʃʌp, mæ, 1
mætʃʌp, ætʃ, 2
mætʃʌp, tʃʌ, 3
mætʃʌp, ʌp, 4
mæŋgəʊz, mæ, 1
mæŋgəʊz, æŋ, 2
mæŋgəʊz, gəʊ, 3
mæŋgəʊz, əʊz, 4
mæʃ, mæ, 1
mæʃ, æʃ, 2
mɑːsk, mɑː, 1
mɑːsk, ɑːs, 2
mɑːsks, mɑː, 1
mɑːsks, ɑːs, 2
mɒmi, mɒ, 1
mɒmi, ɒm, 2
mɒmi, mi, 3
mɒnsuːn, mɒ, 1
mɒnsuːn, ɒn, 2
mɒnsuːn, suː, 3
mɒnsuːn, uːn, 4
mɒnəkrəʊm, mɒ, 1
mɒnəkrəʊm, ɒn, 2
mɒnəkrəʊm, nə, 3
mɒnəkrəʊm, ək, 4
mɒnəkrəʊm, rəʊ, 5
mɒnəkrəʊm, əʊm, 6
mɒnəks, mɒ, 1
mɒnəks, ɒn, 2
mɒnəks, nə, 3
mɒnəks, ək, 4
mɔːgɪdʒiz, mɔː, 1
mɔːgɪdʒiz, ɔːg, 2
mɔːgɪdʒiz, gɪ, 3
mɔːgɪdʒiz, ɪdʒ, 4
mɔːgɪdʒiz, dʒi, 5
mɔːgɪdʒiz, iz, 6
mədæliən, mə, 1
mədæliən, əd, 2
mədæliən, dæ, 3
mədæliən, æl, 4
mədæliən, li, 5
mədæliən, ən, 6
mədæliənz, mə, 1
mədæliənz, əd, 2
mədæliənz, dæ, 3
mədæliənz, æl, 4
mədæliənz, li, 5
mədæliənz, ən, 6
məkænɪk, mə, 1
məkænɪk, ək, 2
məkænɪk, kæ, 3
məkænɪk, æn, 4
məkænɪk, nɪ, 5
məkænɪk, ɪk, 6
məlɪʃəz, mə, 1
məlɪʃəz, əl, 2
məlɪʃəz, lɪ, 3
məlɪʃəz, ɪʃ, 4
məlɪʃəz, ʃə, 5
məlɪʃəz, əz, 6
məmɔːriəlaɪzd, mə, 1
məmɔːriəlaɪzd, əm, 2
məmɔːriəlaɪzd, mɔː, 3
məmɔːriəlaɪzd, ɔːr, 4
məmɔːriəlaɪzd, ri, 5
məmɔːriəlaɪzd, əl, 6
məmɔːriəlaɪzd, laɪ, 7
məmɔːriəlaɪzd, aɪz, 8
məsɑːlə, mə, 1
məsɑːlə, əs, 2
məsɑːlə, sɑː, 3
məsɑːlə, ɑːl, 4
məsɑːlə, lə, 5
mətʃɪzməʊ, ətʃ, 1
mətʃɪzməʊ, tʃɪ, 2
mətʃɪzməʊ, ɪz, 3
mətʃɪzməʊ, məʊ, 4
məʊtiːfs, məʊ, 1
məʊtiːfs, əʊt, 2
məʊtiːfs, tiː, 3
məʊtiːfs, iːf, 4
məʊtəbaɪks, məʊ, 1
məʊtəbaɪks, əʊt, 2
məʊtəbaɪks, tə, 3
məʊtəbaɪks, əb, 4
məʊtəbaɪks, baɪ, 5
məʊtəbaɪks, aɪk, 6
məʊzeɪɪk, məʊ, 1
məʊzeɪɪk, əʊz, 2
məʊzeɪɪk, zeɪ, 3
məʊzeɪɪk, ɪk, 4
mɪd_reɪndʒ, mɪ, 1
mɪd_reɪndʒ, ɪd, 2
mɪd_reɪndʒ, reɪ, 3
mɪd_reɪndʒ, eɪn, 4
mɪdlweɪt, mɪ, 1
mɪdlweɪt, ɪd, 2
mɪdlweɪt, weɪ, 3
mɪdlweɪt, eɪt, 4
mɪljɜː, mɪ, 1
mɪljɜː, ɪl, 2
mɪljɜː, jɜː, 3
mɪlkʃeɪk, mɪ, 1
mɪlkʃeɪk, ɪl, 2
mɪlkʃeɪk, ʃeɪ, 3
mɪlkʃeɪk, eɪk, 4
mɪlətriz, mɪ, 1
mɪlətriz, ɪl, 2
mɪlətriz, lə, 3
mɪlətriz, ət, 4
mɪlətriz, ri, 5
mɪlətriz, iz, 6
mɪnətʃəraɪzd, mɪ, 1
mɪnətʃəraɪzd, ɪn, 2
mɪnətʃəraɪzd, nə, 3
mɪnətʃəraɪzd, ətʃ, 4
mɪnətʃəraɪzd, tʃə, 5
mɪnətʃəraɪzd, ər, 6
mɪnətʃəraɪzd, raɪ, 7
mɪnətʃəraɪzd, aɪz, 8
mɪnɪmaɪzɪŋ, mɪ, 1
mɪnɪmaɪzɪŋ, ɪn, 2
mɪnɪmaɪzɪŋ, nɪ, 3
mɪnɪmaɪzɪŋ, ɪm, 4
mɪnɪmaɪzɪŋ, maɪ, 5
mɪnɪmaɪzɪŋ, aɪz, 6
mɪnɪmaɪzɪŋ, zɪ, 7
mɪnɪmaɪzɪŋ, ɪŋ, 8
mɪsdərektɪd, mɪ, 1
mɪsdərektɪd, ɪs, 2
mɪsdərektɪd, də, 3
mɪsdərektɪd, ər, 4
mɪsdərektɪd, re, 5
mɪsdərektɪd, ek, 6
mɪsdərektɪd, tɪ, 7
mɪsdərektɪd, ɪd, 8
mɪsdʒʌdʒd, mɪ, 1
mɪsdʒʌdʒd, ɪs, 2
mɪsdʒʌdʒd, dʒʌ, 3
mɪsdʒʌdʒd, ʌdʒ, 4
mɪsjuːs, mɪ, 1
mɪsjuːs, ɪs, 2
mɪsjuːs, juː, 3
mɪsjuːs, uːs, 4
mɪstɪkl, mɪ, 1
mɪstɪkl, ɪs, 2
mɪstɪkl, tɪ, 3
mɪstɪkl, ɪk, 4
mɪsɪntɜːprətɪd, mɪ, 1
mɪsɪntɜːprətɪd, ɪs, 2
mɪsɪntɜːprətɪd, sɪ, 3
mɪsɪntɜːprətɪd, ɪn, 4
mɪsɪntɜːprətɪd, tɜː, 5
mɪsɪntɜːprətɪd, ɜːp, 6
mɪsɪntɜːprətɪd, rə, 7
mɪsɪntɜːprətɪd, ət, 8
mɪsɪntɜːprətɪd, tɪ, 9
mɪsɪntɜːprətɪd, ɪd, 10
mʌltifæsɪtɪd, mʌ, 1
mʌltifæsɪtɪd, ʌl, 2
mʌltifæsɪtɪd, ti, 3
mʌltifæsɪtɪd, if, 4
mʌltifæsɪtɪd, fæ, 5
mʌltifæsɪtɪd, æs, 6
mʌltifæsɪtɪd, sɪ, 7
mʌltifæsɪtɪd, ɪt, 8
mʌltifæsɪtɪd, tɪ, 9
mʌltifæsɪtɪd, ɪd, 10
mʌltilætərəl, mʌ, 1
mʌltilætərəl, ʌl, 2
mʌltilætərəl, ti, 3
mʌltilætərəl, il, 4
mʌltilætərəl, læ, 5
mʌltilætərəl, æt, 6
mʌltilætərəl, tə, 7
mʌltilætərəl, ər, 8
mʌltilætərəl, rə, 9
mʌltilætərəl, əl, 10
mʌm, mʌ, 1
mʌm, ʌm, 2
mʌmiz, mʌ, 1
mʌmiz, ʌm, 2
mʌmiz, mi, 3
mʌmiz, iz, 4
mʌŋ, mʌ, 1
mʌŋ, ʌŋ, 2
nekləsiz, ne, 1
nekləsiz, ek, 2
nekləsiz, lə, 3
nekləsiz, əs, 4
nekləsiz, si, 5
nekləsiz, iz, 6
nesld, ne, 1
nesld, es, 2
neɪbəli, neɪ, 1
neɪbəli, eɪb, 2
neɪbəli, bə, 3
neɪbəli, əl, 4
neɪbəli, li, 5
niːəʊklæsɪkl, niː, 1
niːəʊklæsɪkl, əʊk, 2
niːəʊklæsɪkl, læ, 3
niːəʊklæsɪkl, æs, 4
niːəʊklæsɪkl, sɪ, 5
niːəʊklæsɪkl, ɪk, 6
nɑːkɒtɪks, nɑː, 1
nɑːkɒtɪks, ɑːk, 2
nɑːkɒtɪks, kɒ, 3
nɑːkɒtɪks, ɒt, 4
nɑːkɒtɪks, tɪ, 5
nɑːkɒtɪks, ɪk, 6
nɑːli, nɑː, 1
nɑːli, ɑːl, 2
nɑːli, li, 3
nɒmɪniːz, nɒ, 1
nɒmɪniːz, ɒm, 2
nɒmɪniːz, mɪ, 3
nɒmɪniːz, ɪn, 4
nɒmɪniːz, niː, 5
nɒmɪniːz, iːz, 6
nɒn_nɪgəʊʃiəbl, nɒ, 1
nɒn_nɪgəʊʃiəbl, ɒn, 2
nɒn_nɪgəʊʃiəbl, nɪ, 3
nɒn_nɪgəʊʃiəbl, ɪg, 4
nɒn_nɪgəʊʃiəbl, gəʊ, 5
nɒn_nɪgəʊʃiəbl, əʊʃ, 6
nɒn_nɪgəʊʃiəbl, ʃi, 7
nɒn_nɪgəʊʃiəbl, əb, 8
nɒn_pɑːtɪzæn, nɒ, 1
nɒn_pɑːtɪzæn, ɒn, 2
nɒn_pɑːtɪzæn, pɑː, 3
nɒn_pɑːtɪzæn, ɑːt, 4
nɒn_pɑːtɪzæn, tɪ, 5
nɒn_pɑːtɪzæn, ɪz, 6
nɒn_pɑːtɪzæn, zæ, 7
nɒn_pɑːtɪzæn, æn, 8
nɒn_ælkəhɒlɪk, nɒ, 1
nɒn_ælkəhɒlɪk, ɒn, 2
nɒn_ælkəhɒlɪk, æl, 3
nɒn_ælkəhɒlɪk, kə, 4
nɒn_ælkəhɒlɪk, əh, 5
nɒn_ælkəhɒlɪk, hɒ, 6
nɒn_ælkəhɒlɪk, ɒl, 7
nɒn_ælkəhɒlɪk, lɪ, 8
nɒn_ælkəhɒlɪk, ɪk, 9
nɒnprɒfɪts, nɒ, 1
nɒnprɒfɪts, ɒn, 2
nɒnprɒfɪts, rɒ, 3
nɒnprɒfɪts, ɒf, 4
nɒnprɒfɪts, fɪ, 5
nɒnprɒfɪts, ɪt, 6
nəʊ_frɪlziz, nəʊ, 1
nəʊ_frɪlziz, rɪ, 2
nəʊ_frɪlziz, ɪl, 3
nəʊ_frɪlziz, zi, 4
nəʊ_frɪlziz, iz, 5
nəʊ_nɒnsns, nəʊ, 1
nəʊ_nɒnsns, nɒ, 2
nəʊ_nɒnsns, ɒn, 3
nəʊtɪfɪkeɪʃn, nəʊ, 1
nəʊtɪfɪkeɪʃn, əʊt, 2
nəʊtɪfɪkeɪʃn, tɪ, 3
nəʊtɪfɪkeɪʃn, ɪf, 4
nəʊtɪfɪkeɪʃn, fɪ, 5
nəʊtɪfɪkeɪʃn, ɪk, 6
nəʊtɪfɪkeɪʃn, keɪ, 7
nəʊtɪfɪkeɪʃn, eɪʃ, 8
nɜːtʃərɪŋ, nɜː, 1
nɜːtʃərɪŋ, ɜːtʃ, 2
nɜːtʃərɪŋ, tʃə, 3
nɜːtʃərɪŋ, ər, 4
nɜːtʃərɪŋ, rɪ, 5
nɜːtʃərɪŋ, ɪŋ, 6
nɜːviz, nɜː, 1
nɜːviz, ɜːv, 2
nɜːviz, vi, 3
nɜːviz, iz, 4
nɪkneɪm, nɪ, 1
nɪkneɪm, ɪk, 2
nɪkneɪm, neɪ, 3
nɪkneɪm, eɪm, 4
paɪlətɪd, paɪ, 1
paɪlətɪd, aɪl, 2
paɪlətɪd, lə, 3
paɪlətɪd, ət, 4
paɪlətɪd, tɪ, 5
paɪlətɪd, ɪd, 6
paɪnwʊd, paɪ, 1
paɪnwʊd, aɪn, 2
paɪnwʊd, wʊ, 3
paɪnwʊd, ʊd, 4
paɪnæpl, paɪ, 1
paɪnæpl, aɪn, 2
paɪnæpl, næ, 3
paɪnæpl, æp, 4
paɪrəsi, paɪ, 1
paɪrəsi, aɪr, 2
paɪrəsi, rə, 3
paɪrəsi, əs, 4
paɪrəsi, si, 5
paɪənɪəd, paɪ, 1
paɪənɪəd, ɪən, 2
paɪənɪəd, nɪə, 3
paɪənɪəd, ɪəd, 4
paɪθən, paɪ, 1
paɪθən, aɪθ, 2
paɪθən, θə, 3
paɪθən, ən, 4
paʊdəd, paʊ, 1
paʊdəd, aʊd, 2
paʊdəd, də, 3
paʊdəd, əd, 4
pedl, pe, 1
pedl, ed, 2
pedlɪŋ, pe, 1
pedlɪŋ, ed, 2
pedlɪŋ, lɪ, 3
pedlɪŋ, ɪŋ, 4
peni, pe, 1
peni, en, 2
peni, ni, 3
pepəd, pe, 1
pepəd, ep, 2
pepəd, pə, 3
pepəd, əd, 4
pepərɪŋ, pe, 1
pepərɪŋ, ep, 2
pepərɪŋ, pə, 3
pepərɪŋ, ər, 4
pepərɪŋ, rɪ, 5
pepərɪŋ, ɪŋ, 6
peɪt, peɪ, 1
peɪt, eɪt, 2
piːlaʊ, piː, 1
piːlaʊ, iːl, 2
piːlaʊ, laʊ, 3
piːpərz, piː, 1
piːpərz, iːp, 2
piːpərz, pə, 3
piːpərz, ər, 4
piːpɪŋ, piː, 1
piːpɪŋ, iːp, 2
piːpɪŋ, pɪ, 3
piːpɪŋ, ɪŋ, 4
piːsfəli, piː, 1
piːsfəli, iːs, 2
piːsfəli, fə, 3
piːsfəli, əl, 4
piːsfəli, li, 5
piːsəbli, piː, 1
piːsəbli, iːs, 2
piːsəbli, sə, 3
piːsəbli, əb, 4
piːsəbli, li, 5
piːz, piː, 1
piːz, iːz, 2
pjʊərɪst, jʊə, 1
pjʊərɪst, ʊər, 2
pjʊərɪst, rɪ, 3
pjʊərɪst, ɪs, 4
plæntɪn, læ, 1
plæntɪn, æn, 2
plæntɪn, tɪ, 3
plæntɪn, ɪn, 4
plɑːzəz, lɑː, 1
plɑːzəz, ɑːz, 2
plɑːzəz, zə, 3
plɑːzəz, əz, 4
plʌmz, lʌ, 1
plʌmz, ʌm, 2
praɪmɔːdiəl, raɪ, 1
praɪmɔːdiəl, aɪm, 2
praɪmɔːdiəl, mɔː, 3
praɪmɔːdiəl, ɔːd, 4
praɪmɔːdiəl, di, 5
praɪmɔːdiəl, əl, 6
praɪɒrətaɪzd, raɪ, 1
praɪɒrətaɪzd, ɒr, 2
praɪɒrətaɪzd, rə, 3
praɪɒrətaɪzd, ət, 4
praɪɒrətaɪzd, taɪ, 5
praɪɒrətaɪzd, aɪz, 6
praʊəs, raʊ, 1
praʊəs, ʊəs, 2
predətərz, re, 1
predətərz, ed, 2
predətərz, də, 3
predətərz, ət, 4
predətərz, tə, 5
predətərz, ər, 6
preər, reə, 1
preər, eər, 2
priːdɪnæstɪk, riː, 1
priːdɪnæstɪk, iːd, 2
priːdɪnæstɪk, dɪ, 3
priːdɪnæstɪk, ɪn, 4
priːdɪnæstɪk, næ, 5
priːdɪnæstɪk, æs, 6
priːdɪnæstɪk, tɪ, 7
priːdɪnæstɪk, ɪk, 8
priːfaɪt, riː, 1
priːfaɪt, iːf, 2
priːfaɪt, faɪ, 3
priːfaɪt, aɪt, 4
priːkəʊvɪd, riː, 1
priːkəʊvɪd, iːk, 2
priːkəʊvɪd, kəʊ, 3
priːkəʊvɪd, əʊv, 4
priːkəʊvɪd, vɪ, 5
priːkəʊvɪd, ɪd, 6
priːmedɪteɪtɪd, riː, 1
priːmedɪteɪtɪd, iːm, 2
priːmedɪteɪtɪd, me, 3
